#Word	VAL_M	ARO_M	CON_M	IMA_M	AVA_M	FAM_M
celda	2.65	5.75	5.71	6.23	5.23	4.82
celo	4.75	5.00	4.00	5.33	5.00	5.40
celos	2.55	7.15	4.87	4.13	5.27	6.00
célula	5.20	4.27	5.36	4.86	2.91	5.27
cementerio	2.08	5.52	6.35	6.78	6.45	5.81
cemento	5.00	4.00	6.81	6.17	5.60	5.50
cenicero	4.39	4.05	6.70	6.91	5.77	5.75
ceniza	3.50	4.71	6.57	6.32	4.36	5.38
centímetro	4.83	3.10	5.90	4.05	3.90	6.00
centuria	4.60	4.10	4.83	2.78	1.23	2.57
cepillo	5.24	3.91	5.91	6.65	6.00	6.35
cerdo	4.15	4.70	5.86	6.77	5.45	5.85
certeza	6.65	3.85	3.25	1.90	2.45	5.25
cerveza	6.05	4.86	6.57	6.95	5.91	6.33
cesta	5.18	3.30	5.90	6.59	5.64	5.90
chaleco	5.13	3.95	6.70	6.87	5.32	6.22
chalet	6.96	4.70	6.35	6.70	5.59	6.09
champán	6.45	5.30	6.59	6.82	6.04	5.71
champiñón	5.43	3.95	6.65	6.90	5.91	5.55
chándal	4.75	3.65	5.62	6.91	6.23	6.40
chantajista	2.00	6.65	5.48	2.96	2.68	5.18
charca	5.00	3.50	6.00	6.05	4.36	4.95
cheque	7.65	7.00	5.73	6.70	5.83	5.20
chico	5.50	4.25	5.00	6.77	5.55	6.62
chillido	3.00	7.25	5.38	3.64	5.59	5.05
china	5.32	4.10	6.14	5.95	5.35	5.90
chocolate	7.19	5.75	6.40	6.80	6.50	6.95
chófer	5.20	3.25	6.55	6.41	5.50	4.90
chorizo	4.55	4.45	5.80	6.77	6.15	6.18
ciclo	5.20	4.32	2.77	3.52	4.00	5.05
ciclón	3.14	6.29	5.50	5.20	4.45	4.05
ciempiés	4.43	4.77	6.65	6.68	3.85	5.43
científica	7.25	4.75	4.38	5.41	5.50	6.00
cigarrillo	3.36	4.55	6.95	6.90	6.09	6.24
cinturón	4.65	3.65	5.90	6.90	6.05	6.74
circulación	5.00	4.91	3.71	4.18	5.73	5.10
círculo	5.40	3.18	6.27	6.95	4.73	5.95
cirujano	5.71	6.62	6.41	6.65	5.90	5.27
